trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-57.15250873005831,"{0: 11, 1: 7, 2: 1, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-82.85725494188142,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,15,-69.85956577333036,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-127.52681574662017,"{0: 10, 1: 6, 2: 1, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-202.95661600541055,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-60.18746162133551,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-56.59702538948742,"{0: 25, 1: 5, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-122.32382440925535,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-62.89644768615951,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-87.16084815254861,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-68.03352415778487,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-28.379130709237845,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,11,-41.155258738319965,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-141.33211649664636,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,9,-4.886908048625782,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-33.761741815054854,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-47.714458225598406,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,13,13.898443394081259,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-25.744568667917424,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-2.6138106138041337,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,8,21.032891053527997,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,14,-0.43828113919741885,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-31.226049846913153,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,25.222188330461044,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-90.93924717961734,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,12,-6.702029951101304,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,0,36.3859058111074,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,5,-22.872459229883006,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,7,14.541546150251474,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,4,31.5046949189725,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
