trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-185.984339146647,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-153.11650514137295,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-166.094959868748,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,11,-20.807631411326675,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-95.99896516050254,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",30,0,-99.98362411694234,"{0: 18, 1: 6, 2: 3, 3: 3, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-156.86006765253939,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",30,0,-156.10139437463653,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-42.386108997639006,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",25,0,-179.04428843470768,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,0,-165.07465247539778,"{0: 16, 1: 3, 2: 7, 3: 3, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,10,-60.767448622847745,"{0: 7, 1: 2, 2: 6, 3: 0, 4: 0}",1
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",30,0,-179.20760210120642,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
