trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.47163710330966,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.13217110664017,"{0: 11, 1: 8, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.58305879393606,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.14726622313232,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.46341646436252,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.75681077981247,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,8,12.856565165318813,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.37497120073057,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.56738752016824,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.6988442292695,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.93713808360279,"{0: 14, 1: 1, 2: 8, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,15,-70.91329882126776,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.97680305277532,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.584324922684765,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.899481285415185,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-266.75074454464794,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 5}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.4886136938369,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.16167749876237,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.00420850053584,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.51123980771698,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.4070986591421,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-141.8672574771727,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.74265114976623,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.52173436150797,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-180.24193408484928,"{0: 7, 1: 6, 2: 4, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-97.87420678314544,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-39.55910665908877,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.75889029819244,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-74.90921911168299,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-152.99164934358672,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
